"Niche","BusinessName","Rating","Reviews","HotLead_NeedsReviews","Phone","Website","Address","MapsLink"
"Plumbers","Plumbing services","5","1","Yes (Low Rating/Reviews)","+91 97304 97232","N/A","Dabolim, Vasco Da Gama, Goa 403802, India","https://www.google.com/maps/place/15.3970028,73.8258845"
"Roofers","Telhado roofing Tiles","5","4","Yes (Low Rating/Reviews)","+91 90906 55959","http://telhado.in/","923/231, Defence Colony, Porvorim, Aradi Socorro, Goa 403521, India","https://www.google.com/maps/place/15.538824499999999,73.8315417"
"Roofers","IG INFRA GOA","5","2","Yes (Low Rating/Reviews)","N/A","https://iginfrago.com/","N/A","https://www.google.com/maps/place/15.3497285,74.00641279999999"
"Plumbers","Yusuf Plumbing & Contractor","5","2","Yes (Low Rating/Reviews)","+91 93252 90937","N/A","near Costa factory, Aquem, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2704195,73.9704277"
"Plumbers","Hi teck plumber","5","7","Yes (Low Rating/Reviews)","+91 86690 40473","N/A","St. Inez, Santa Inez, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.487819199999999,73.8182471"
"Auto Repair","Autobots mechanic","5","4","Yes (Low Rating/Reviews)","+91 96997 89808","https://www.carnoscar.com/autobots-mechanic.php","House no -453, Calangute - Anjuna Rd, next to starlight restaurant, Arpora, Goa 403516, India","https://www.google.com/maps/place/15.5654335,73.7649981"
"Auto Repair","Marks Auto Care | Multi Brand Car Workshop","4.4","52","No","+91 81092 49992","http://marksauto.in/","Panvel - Kochi - Kanyakumari Hwy, Panzorconi, Cuncolim, Goa 403715, India","https://www.google.com/maps/place/15.199146899999999,73.99594239999999"
"Nike store","Nike Store","4.4","467","No","+91 832 222 5327","https://www.nike.com/in/","Shop No. 12, 42/2 12/44 and 12/44/3, MG Road, next to Delhi Darbar, Opposite Azad Maidan, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.5003201,73.8270402"
"Restaurants","Waterfront Terrace & Bar","4.4","383","No","+91 832 665 6000","https://www.marriott.com/hotels/hotel-information/restaurant/goimc-goa-marriott-resort-and-spa/","64, Miramar, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.488223,73.80991999999999"
"Auto Repair","Motorsports Dada Garage 24 hours Car Mechanic in Margao","4.4","104","No","+91 77448 23856","N/A","near Krishna mandir opp go Goa hotel besides Clark inn cosmique hotel, near Margao Flyover, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2679314,73.9612495"
"Restaurants","Peep Kitchen","4.4","5001","No","+91 88061 80123","N/A","Risara Luxury , Ground Floor , Taliegao Market Road , Near Taliegao Near Taliegao Community Centre Taliegao, Panaji, Goa 403002, India","https://www.google.com/maps/place/15.470146799999998,73.8260554"
"Restaurants","Martin's Corner","4.4","24498","No","+91 832 288 0061","https://martinscornergoa.com/","69, Binwaddo, Betalbatim, Goa 403713, India","https://www.google.com/maps/place/15.3037876,73.91430009999999"
"Restaurants","Gunpowder","4.5","4909","No","+91 79725 91678","http://www.gunpowder.co.in/","Saunto Waddo, 6, Anjuna Mapusa Rd, Assagao, Goa 403510, India","https://www.google.com/maps/place/15.596955699999999,73.78832299999999"
"Restaurants","FOLGA GOA","4.5","1737","No","+91 70200 87668","N/A","Near, Western Byp Rd, Seraulim, Goa 403601, India","https://www.google.com/maps/place/15.2877812,73.9461417"
"Auto Repair","Naz Motors","4.5","65","No","+91 88881 49974","N/A","Shop No.1, Ground Floor, Master Glory Presentation Road, Ambajim, near Presentation school, Fatorda, Goa 403602, India","https://www.google.com/maps/place/15.2969432,73.9573649"
"Restaurants","Copperleaf Porvorim","4.5","11824","No","+91 90750 18460","https://www.copperleafgoa.com/","Chogm Rd, SBI Colony, Alto Porvorim, Porvorim, Sangolda, Goa 403501, India","https://www.google.com/maps/place/15.5388808,73.8184801"
"Restaurants","The Fishermans Wharf","4.5","16936","No","+91 90110 18866","https://www.thefishermanswharf.in/","At The Riverside, Goa 403723, India","https://www.google.com/maps/place/15.1576183,73.95219089999999"
"Auto Repair","KingCarsGoa","4.5","123","No","+91 76668 34347","N/A","707, Alto, Porvorim, Aradi Socorro, Goa 403501, India","https://www.google.com/maps/place/15.552461899999999,73.8162504"
"Restaurants","Adlem Goi","4.6","8071","No","+91 80808 28478","N/A","Dauji Road, next to Jamson Wines, Old Goa, Goa 403402, India","https://www.google.com/maps/place/15.5026227,73.91504499999999"
"Restaurants","The Black Sheep Bistro","4.6","8120","No","+91 93250 23565","N/A","The Black Seep Bistro 1st Floor, Villa Braganca, Dr Braganza Pereira Rd, above Fab India Store, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.488772899999999,73.81172769999999"
"Restaurants","Purple Martini","4.6","30433","No","+91 87932 42210","https://www.mypurplemartini.co.in/","St. Anthony praise waddo, near club, nyex, Dmello Vaddo, Anjuna, Goa 403509, India","https://www.google.com/maps/place/15.5828464,73.73775739999999"
"Restaurants","Bomras","4.6","3975","No","+91 95032 98712","N/A","1152, opp. Our Lady Of Health Chapel, Mazal Waddo, Anjuna, Goa 403509, India","https://www.google.com/maps/place/15.582192299999999,73.7526178"
"Auto Repair","Dambab Autoworks","4.6","58","No","+91 99234 78756","N/A","Cupangale Society, Madgaon, Goa 403602, India","https://www.google.com/maps/place/15.2905511,73.9790585"
"Roofers","Goa Roofings","4.6","63","No","+91 77220 10335","http://goaroofings.com/","Lamgaon, Dicholi, Goa 403504, India","https://www.google.com/maps/place/15.589611199999998,73.93837549999999"
"Bata store","Bata Shoe Store","4.6","91","No","+91 83907 89993","https://stores.bata.com/bata-shoes-sandals-store-in-calangute-calangute","A1/2, Dona Terezinha, No. A1/1, Aguada - Siolim Rd, beside Yes Bank, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.5351904,73.7644854"
"Restaurants","YOU & ME MULTI CUISINE","4.6","1106","No","+91 77982 07886","https://www.youandmegoa.com/","Rio Resort lane, Opposite Renton Manor Tambuki waddo, Arpora, Bardez, Arpora, Goa 403516, India","https://www.google.com/maps/place/15.563691599999999,73.7629321"
"Auto Repair","In & out auto repair","4.6","323","No","+91 75076 43553","https://www.profile.justlocality.com/in-00000192/index.php","St. Inez, Electricity Colony, Altinho, Panaji, Goa 403002, India","https://www.google.com/maps/place/15.486697399999999,73.82094169999999"
"Restaurants","THE SINGH FAMILY RESTAURANT & BAR PALOLEM GOA","4.7","8310","No","+91 95452 90888","https://www.instagram.com/singh_family_resturent_goa/profilecard/?igsh=enRneTk4bXRwMTV5","Main street, opposite blush shop, Palolem, Canacona, Goa 403702, India","https://www.google.com/maps/place/15.0124724,74.0238834"
"Bata store","Bata Shoe Store","4.7","84","No","+91 78758 66590","https://stores.bata.com/bata-shoes-sandals-store-in-taxi-stand-mapusa","No. 1&2, Ramachandra Building, Market Rd, opposite Municipal Market, Taxi Stand, Mapusa, Goa 403507, India","https://www.google.com/maps/place/15.589742399999999,73.8111682"
"Plumbers","Handyman service","4.7","60","No","+91 74830 73064","https://www.profile.justlocality.com/han00000196/index.php","Vaidya Nagar, Bethora Industrial Estate, Betora, Ponda, Goa 403401, India","https://www.google.com/maps/place/15.386901499999999,74.0226905"
"Restaurants","Palms n Sands Beach Restobar Candolim","4.7","15318","No","+91 98221 49629","https://palmsnsands.com/","Dando, Candolim, Bardez, Candolim, Goa 403515, India","https://www.google.com/maps/place/15.504902699999999,73.7671416"
"Bata store","Bata Shoe Store","4.7","90","No","+91 80 6986 7306","https://stores.bata.com/bata-shoes-sandals-store-in-altinho-panaji","No. 7-8, Rebelo Building, MG Road, Opposite Azad Maidan, Altinho, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.5004884,73.8272835"
"Plumbers","Debu Enterprises Plumbing Service Goa, core cutting service goa","4.7","72","No","+91 95796 30675","https://www.instagram.com/debu_plumber?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==","Dulapi, Corlim, Old Goa, Goa 403110, India","https://www.google.com/maps/place/15.497948699999998,73.929053"
"Auto Repair","Sai Auto Works (Car Ac repair and service)","4.7","74","No","+91 90216 54138","N/A","near Chowgule College, Gogol, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2887071,73.9794059"
"Restaurants","Mikey's Place Bar & Restaurant","4.8","19439","No","+91 98221 37592","https://mikeysplace.in/","Aguada, Candolim Rd, Souza Vaddo, Candolim, Goa 403515, India","https://www.google.com/maps/place/15.5082232,73.7699449"
"Dentists","Goa Dental Solutions","4.8","194","No","+91 832 278 0700","http://www.goadentalsolutions.com/","Parish Hall Complex, near Our Lady of Merces Church, Fatona, Colva, Goa 403708, India","https://www.google.com/maps/place/15.2786792,73.922861"
"Auto Repair","Faizan Auto Workshop","4.8","53","No","+91 86602 20562","N/A","Besides Balaji Garage, Aquem Masjid, near Power House Road, Davorlim, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2692524,73.9835714"
"Roofers","Gonal Roofings","4.8","63","No","+91 95612 34120","http://gonalroofings.in/","H.NO 1012 , Ambirna, Kamat Nagar, Sabnis Valley, Porvorim, Aradi Socorro, Goa 403501, India","https://www.google.com/maps/place/15.54581,73.825733"
"Dentists","Smile Factory","4.8","146","No","+91 98221 67433","https://www.smilefactory.in/","Fort Aguada Rd, next to Snip Salon & Spa, Calangute, Gauravaddo, Calangute, Goa 403515, India","https://www.google.com/maps/place/15.53206,73.7641007"
"Auto Repair","Autoserv Goa","4.8","145","No","+91 92260 77439","N/A","PHASE 1A, Plot C-17, near Lupin Pharma, Finolex Cables Residential Colony, Verna, Nagve, Goa 403722, India","https://www.google.com/maps/place/15.3655286,73.9220701"
"Plumbers","ARHAAN ENTERPRISES","4.8","116","No","+91 99757 97367","N/A","Dona Paula Rd, Caranzalem, Panaji, Goa 403004, India","https://www.google.com/maps/place/15.453388599999998,73.8030572"
"Restaurants","Maka Zai Goan Restaurant & Feni Cocktails","4.8","3818","No","+91 90220 99693","N/A","House No, 1486, Bhattin, Bouta Waddo, Anjuna, Goa 403509, India","https://www.google.com/maps/place/15.592679799999999,73.759635"
"Dentists","Dr. DMello's Smile Dental Clinic | Dentist in Baga, Goa","4.8","165","No","+91 83100 90357","https://dr-dmellos-smile-dental.grexa.site/","Ground floor, Sun beam Apartments, Calangute - Baga Rd, opp. hotel saahil, Khobra Vaddo, Khobra Waddo, Baga, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.5502507,73.7591796"
"Restaurants","Chef Soumyens Kitchen Restaurant &Bar","4.8","642","No","+91 73875 20423","https://www.soumyenskitchenn.com/","1/285A,Louis Marino Gomes Road, opp. Jambleshwar Temple, Gauravaddo, Candolim, Goa 403515, India","https://www.google.com/maps/place/15.529803999999999,73.765857"
"Dentists","STUDIO32 Dental Clinic - Best Dentist, Implantologist in Colva for Implants, Braces, Aligners, Invisalign, & More","4.9","559","No","+91 98546 83232","https://www.studio32india.com/","1st Flr, Meera’s Prestige, Colva Beach Rd, next to Baskin Robbins, Fatona, Colva, Goa 403708, India","https://www.google.com/maps/place/15.277328899999999,73.9204936"
"Dentists","Smile Craft Goa - Orthodontist & Dentist in Margao","4.9","715","No","+91 93098 96916","https://smilecraftgoa.com/","Shop No. 3, Bldg A, Kurtarkar Harmony, Borda, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2834451,73.97083429999999"
"Dentists","Goa Coastal Dental Care","4.9","200","No","+91 86989 99198","https://www.instagram.com/royalprostheticdentistry?igsh=MWc3bTF4Y2p0Nm4yNQ==&utm_source=qr","near Rockys Insurance Services, nr. Broadway Classic Building, Agar Vaddo, Khobra Waddo, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.5520987,73.7638415"
"Dentists","Smile Care Goa - Best Dentist in Goa","4.9","143","No","+91 91584 71797","http://www.doctorsmilegoa.com/","Everest ice-cream factory, C/o, Shivaji Nagar Bondbag, Bethora Industrial Estate, Betora, Ponda, Goa 403401, India","https://www.google.com/maps/place/15.3866211,74.01935379999999"
"Dentists","Dentistry Plus by Dr. Patil - MDS Specialist","4.9","370","No","+91 99757 21475","http://www.dentistryplus.in/","Brahma Tower, Ground Floor, Near Hotel Neo Majestic Panaji, Highway, Alto- Betim Porvorim, Mapusa, Porvorim, Goa 403521, India","https://www.google.com/maps/place/15.5171806,73.83081"
"Dentists","i-Smile Dental Clinic Goa","4.9","92","No","+91 93226 47920","https://www.facebook.com/share/1EQH9Lp1Jc/","SH 5,Block3, Govind Apartments, Milroc Colina, opposite Old heritage hall, near Moms Recipes, Phase 1, Pilar, Goa Velha, Goa 403204, India","https://www.google.com/maps/place/15.439971199999999,73.9008411"
"Auto Repair","Topgear Auto","4.9","78","No","+91 84467 32242","http://www.kgntopgearauto.com/","388, Porba Vaddo, Prabhu wada, Calangute, Saligao, Goa 403516, India","https://www.google.com/maps/place/15.5515469,73.7721056"
"Restaurants","Pickled Mango","4.9","1204","No","N/A","N/A","Resort Rio Tambudki, Arpora, Goa 403516, India","https://www.google.com/maps/place/15.565211499999998,73.7590305"
