"Niche","BusinessName","Rating","Reviews","HotLead_NeedsReviews","Phone","Website","Address","MapsLink"
"Dentists","Dr. DMello's Smile Dental Clinic | Dentist in Baga, Goa","4.8","165","No","083100 90357","https://dr-dmellos-smile-dental.grexa.site/","Ground floor, Sun beam Apartments, Calangute - Baga Rd, opp. hotel saahil, Khobra Vaddo, Khobra Waddo, Baga, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.5502507,73.7591796"
"Dentists","Smile Factory","4.8","146","No","098221 67433","https://www.smilefactory.in/","Fort Aguada Rd, next to Snip Salon & Spa, Calangute, Gauravaddo, Calangute, Goa 403515, India","https://www.google.com/maps/place/15.53206,73.7641007"
"Dentists","Goa Dental Solutions","4.8","194","No","0832 278 0700","http://www.goadentalsolutions.com/","Parish Hall Complex, near Our Lady of Merces Church, Fatona, Colva, Goa 403708, India","https://www.google.com/maps/place/15.2786792,73.922861"
"Restaurants","Mikey's Place Bar & Restaurant","4.8","19439","No","098221 37592","https://mikeysplace.in/","Aguada, Candolim Rd, Souza Vaddo, Candolim, Goa 403515, India","https://www.google.com/maps/place/15.5082232,73.7699449"
"Auto Repair","N H 21 Autoworks","4.8","173","No","099751 44908","https://www.facebook.com/nh21autoworks/","Bamborda Rd, near Verna Lake, Verna, Lotli, Goa 403722, India","https://www.google.com/maps/place/15.3418088,73.9352875"
"Roofers","Gonal Roofings","4.8","63","No","095612 34120","http://gonalroofings.in/","H.NO 1012 , Ambirna, Kamat Nagar, Sabnis Valley, Porvorim, Aradi Socorro, Goa 403501, India","https://www.google.com/maps/place/15.54581,73.825733"
"Plumbers","ARHAAN ENTERPRISES","4.8","116","No","099757 97367","N/A","Dona Paula Rd, Caranzalem, Panaji, Goa 403004, India","https://www.google.com/maps/place/15.4533886,73.8030572"
"Auto Repair","Castrol Auto Service - Arti Service Station","4.8","60","No","070204 24801","https://www.castrolautoservice.in/castrol-auto-service-arti-service-station-vehicle-repair-priol-ponda-320393/Home?utm_source=locator&utm_medium=googleplaces","H No 865, Farmagudi, Konem, 748, National Highway, Priol, Goa 403401, India","https://www.google.com/maps/place/15.4206464,73.9871252"
"Restaurants","Chef Soumyens Kitchen Restaurant &Bar","4.8","642","No","073875 20423","https://www.soumyenskitchenn.com/","1/285A,Louis Marino Gomes Road, opp. Jambleshwar Temple, Gauravaddo, Candolim, Goa 403515, India","https://www.google.com/maps/place/15.529804,73.765857"
"Restaurants","Maka Zai Goan Restaurant & Feni Cocktails","4.8","3818","No","090220 99693","N/A","House No, 1486, Bhattin, Bouta Waddo, Anjuna, Goa 403509, India","https://www.google.com/maps/place/15.5926798,73.759635"
"Dentists","STUDIO32 Dental Clinic - Best Dentist, Implantologist in Colva for Implants, Braces, Aligners, Invisalign, & More","4.9","559","No","098546 83232","https://www.studio32india.com/","1st Flr, Meera’s Prestige, Colva Beach Rd, next to Baskin Robbins, Fatona, Colva, Goa 403708, India","https://www.google.com/maps/place/15.2773289,73.9204936"
"Dentists","Dentistry Plus by Dr. Patil - MDS Specialist","4.9","370","No","099757 21475","http://www.dentistryplus.in/","Brahma Tower, Ground Floor, Near Hotel Neo Majestic Panaji, Highway, Alto- Betim Porvorim, Mapusa, Porvorim, Goa 403521, India","https://www.google.com/maps/place/15.5171806,73.83081"
"Roofers","SOHAIB STEEL","4.9","755","No","086687 65599","N/A","Shop No 296, Postwada, Honda, Satari, Goa 403530, India","https://www.google.com/maps/place/15.5447552,74.0558609"
"Dentists","Smile Care Goa - Best Dentist in Goa","4.9","143","No","091584 71797","http://www.doctorsmilegoa.com/","Everest ice-cream factory, C/o, Shivaji Nagar Bondbag, Bethora Industrial Estate, Betora, Ponda, Goa 403401, India","https://www.google.com/maps/place/15.3866211,74.01935379999999"
"Dentists","Goa Coastal Dental Care","4.9","200","No","086989 99198","https://www.instagram.com/royalprostheticdentistry?igsh=MWc3bTF4Y2p0Nm4yNQ==&utm_source=qr","near Rockys Insurance Services, nr. Broadway Classic Building, Agar Vaddo, Khobra Waddo, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.5520987,73.7638415"
"Dentists","i-Smile Dental Clinic Goa","4.9","92","No","093226 47920","https://www.facebook.com/share/1EQH9Lp1Jc/","SH 5,Block3, Govind Apartments, Milroc Colina, opposite Old heritage hall, near Moms Recipes, Phase 1, Pilar, Goa Velha, Goa 403204, India","https://www.google.com/maps/place/15.4399712,73.9008411"
"Dentists","Smile Craft Goa - Orthodontist & Dentist in Margao","4.9","715","No","093098 96916","https://smilecraftgoa.com/","Shop No. 3, Bldg A, Kurtarkar Harmony, Borda, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2834451,73.97083429999999"
"Roofers","CH Waterproofing And Civil Works","4.9","79","No","088056 98578","https://www.chwaterproofing.in/","Cabesa Road, Cabesa Ward, Santa Cruz, Goa 403005, India","https://www.google.com/maps/place/15.466743,73.85075479999999"
"Auto Repair","Faiz Auto Garage","4.9","140","No","082082 36318","http://faizautogarage.com/","Calangute - Mapusa Rd, Panaji, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.540965,73.7683045"
"Restaurants","Pickled Mango","4.9","1204","No","N/A","N/A","Resort Rio Tambudki, Arpora, Goa 403516, India","https://www.google.com/maps/place/15.5652115,73.7590305"
"Auto Repair","Autocare Goa AC customs Workshop","4.9","271","No","080808 60702","N/A","Near O'papagaio Bar & Restaurant Cunchelim - sodiem road Sodiem siolim, Siolim, Goa 403507, India","https://www.google.com/maps/place/15.6171748,73.8028215"
"Dentists","Dr. Vipin Naik","4.9","78","No","N/A","https://drvipinvidyanandnaik.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu","Bethora Industrial Estate, Betora, Goa 403409, India","https://www.google.com/maps/place/15.386613,74.0195602"
"Auto Repair","Shree Jyotirling Auto garage","4.9","241","No","076762 38623","https://www.carnoscar.com/shree-jyotirling-auto-garage.php","Calangute - Arpora Rd, near balli resort, Arpora, Goa 403516, India","https://www.google.com/maps/place/15.5675996,73.7641299"
"Dentists","Dr Hubert Gomes Dental Clinic","4.9","843","No","070834 35259","http://dentistingoa.com/","Second floor, Reliance House, Isidorio Baptista Rd, opposite IDBI Bank, near Bata Showroom, Pajifond, Madgaon, Goa 403601, India","https://www.google.com/maps/place/15.2723585,73.9617908"
"Roofers","Pradeep Gond Fabrication Work","4.9","101","No","070571 07811","http://pradeepgondfabrication.com/","Rukmani Niwas, Rawanfond Cir, Madgaon, Davorlim, Goa 403601, India","https://www.google.com/maps/place/15.2691269,73.9785825"
"Dentists","Perfect 32 Dental Clinic","4.9","77","No","087932 63363","https://rb.gy/39xvyb","Jasmin complex, V. N. Naik Rd, Chandrawado, Ambaji, Madgaon, Goa 403602, India","https://www.google.com/maps/place/15.2997511,73.9648376"
"Auto Repair","Ravi Car Garage","4.9","124","No","085528 74299","https://wa.me/918552874299","Chicalim church, igreja waddo, 232/2, near Chicalim, Panchayat, Mormugao, Chicalim, Bogmalo, Goa 403711, India","https://www.google.com/maps/place/15.3989926,73.8416982"
"Dentists","Pai Dental Clinic","5.0","401","No","093074 62659","http://paidentalclinic.com/","First floor, opposite Hotel Treehouse Neptune, Ozari, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4986816,73.8263303"
"Dentists","Smile Craft Goa - Dentist, Orthodontist in Panjim","5.0","102","No","089993 22176","http://smilecraftgoa.com/","G 11, Silvio heights, St Inez Rd, Santa Inez, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4890775,73.81899039999999"
"Dentists","Revive Face $ Dental Centre Goa - Panjim's Dentist, for Implants, Braces, Root Canal, Wisdom Tooth Removal, Aligner.","5.0","197","No","089288 55904","https://revive-face-dental.grexa.site/","Shop No: 108, First Floor, Gera Imperium Greens, next to Jairam Complex, Mala, Neugi Nagar, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4896961,73.83251369999999"
"Dentists","Dr. Mansingh Patil's Dental Practice","5.0","106","No","099220 32733","https://drmansinghpatil.com/","A1, Almita Complex, F1, High Street, next to Plantain Leaf Restaurant, Naika Vaddo, Calangute, Goa 403516, India","https://www.google.com/maps/place/15.5451931,73.7617772"
"Dentists","DENTISTRY CO. GOA","5.0","72","No","097396 12414","http://dentistryco.in/","Second Floor, Satt Adhar Basilios, S1, above Basilios Gym, Santa Inez, Panaji, Goa 403001, India","https://www.google.com/maps/place/15.4887383,73.8187362"
